col:taxonID	col:sourceID	col:estimate	col:type	col:referenceID	col:remarks	col:modified	col:modifiedBy	clb:merged
8MP8M		23	species living	3				
C		25000	species living	58				
Z		29000	species living	58				
HYM		152677	species living	74				
HG4		30	species living	30				
		5136	species living	3				
KVF8V		2933	species living	44				
KV28P		430	species living	3				
		16	species living	55				
KVF8V		158570	species living	3				
42D		273	species living	3				
9JJ		4000	species living	3				
6L9		56	species living	55				
9J9G3		7266	species living	59				
3M5		70	species living	35				
3SP		38	species living	35				
VL		224	species living	35				
X9		33	species living	35				
623QT		22000	species living	8				
MS		11424	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
3C5		8	species living	35				
KVBTC		5	species living	35				
KVFTJ		15	species living	35				
3LQ		183	species living	35				
NX		1	species living	35				
PJ		791	species living	35				
RW		12	species living	35				
RY		312	species living	35				
892		182	species living	74				
SV		78	species living	35				
8VX		1412	species living	74				
96T		2048	species living	74				
6228Z		144	species living	35				
BXVWV		104165	species living	3				
9CLB5		83	species living	33				
9CLBB		20	species living	33				
9NB		39	species living	74				
X2		1674	species living	35				
DLR		5	species living	72				
626GY		192	species living	47				
372		3281	species living	3				
FVM		20	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
622VS		6157	species living	32				
626PQ		1150	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
6PV		21	species living	30				
LZZSM		2373	species living	55				
623M9		470	species living	30				
625TQ		28	species living	30				
6268J		14	species living	30				
626WM		14	species living	30				
KVVQX		155	species living	30				
626LY		370	species living	30				
H3T		3	species living	30				
7PH		400	species living	30				
62446		1571	species living	74				
C2T		9	species living	30				
KVKJM		32	species living	35				
KVKJM		32	species living	35				
624JK		2	species living	74				
62377		5	species living	35				
KVR8Q		285	species living	35				
NH		30	species living	35				
CZW		4302	species living	74				
YR		364	species living	35				
DQZ		82	species living	74				
RQXY3		291	species living	74				
3LB		72	species living	35				
3LN		246	species living	35				
3PT		385	species living	35				
3QF		88	species living	35				
3QH		218	species living	35				
3SB		9	species living	35				
KV293		4160	species living	3				
KV33V		11	species living	3				
KTZCB		4	species living	3				
KTZL6		400	species living	3				
KV29V		5	species living	3				
KV2CJ		24	species living	3				
KV3JN		150	species living	3				
KV2ZJ		5100	species living	3				
DBP8J		12	species living	5				
KV4NJ		15	species living	3				
KV2FQ		650	species living	3				
KV4M8		170	species living	3				
KV2FX		3400	species living	5				
KZXW3		6000	species living	3				
KZXW3		6000	species living	3				
KV59R		200	species living	3				
KV6DW		600	species living	3				
KV2GF		44	species living	3				
KV86G		2	species living	3				
KV8R7		80	species living	3				
KV6HW		2	species living	3				
KV97J		400	species living	3				
KVCL8		107	species living	3				
M2NNP		1300	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
GMQ		100	species living	30				
3GY		313	species living	35				
CGVH9		317	species living	30				
622V4		678	species living	35				
46Q		99	species living	35				
47D		357	species living	35				
4BY		32	species living	35				
KZYLY		3160	species living	17				
69G		1	species living	30				
KVSMH		1030	species living	7				
KVTBS		100	species living	3				
DBP8K		1	species living	5				
KTXTJ		45	species living	3				
KTZ7S		2	species living	3				
KV2CW		200	species living	3				
KVRTK		500	species living	3				
		120	species living	3				
		8	species living	3				
ZC		885	species living	55				
622CB		67	species living	26				
393		26	species living	30				
4X2		160	species living	74				
BWB		2	species living	30				
3QP		1979	species living	12				
623GK		740	species living	65				
5NT		111	species living	74				
		26000	species living	40				
6D9		1	species living	74				
62655		3	species living	74				
M2QBC		111	species living	30				
623LT		1	species living	30				
39D		22093	species living	30				
		178	species living	74				
N		1525728	species living	27				
P		382000	species living	4				
3Z		123	species living	36				
5P		16	species living	74				
CGVH8		317	species living	30				
BT		1	species living					
334		3268	species living	35				
KZRLZ		8643	species living	3				
KZRLZ		5710	species living	73				
TP		348000	species living	da338db5-830a-4e89-ba57-e6dc1b15608a				
L2L		77267	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
YW		2	species living	35				
5B		339	species living	74				
		23	species living	30				
625QY		13240	species living	30				
CGVH7		97	species living	30				
QY		2577	species living	37				
62287		3953	species living	55				
3P4		86	species living	30				
4C8		574	species living	3				
78C		5	species living	30				
KV5BH		63400	species living	7				
KV5BM		10200	species living	1				
KV6F5		6000	species living	3				
KV6YZ		11200	estimated species	7				
KV8R8		150	species living	3				
SMQV3		68	species living	55				
SF		16412	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
3HL		3406	species living	30				
KVH7Y		1	species living	3				
HNB		50	species living	30				
5Y		2049	species living	74				
3J8		380	species living	3				
56		1290	species living	26				
		100	species living	3				
SP		36670	species living	55				
622HZ		14886	species living	61				
775		2340	species living	74				
9CF		136	species living	74				
623YW		1605	species living	74				
8MP8H		464	species living	3				
6253R		12	species living	74				
625TC		442	species living	74				
C4R		1	species living	24				
623DL		1736	species living	55				
KVWC5		33700	species living	7				
KTWNQ		900	species living	3				
KTWRL		24	species living	3				
KTX5T		50	species living	3				
KTXN3		5	species living	3				
KTYMT		3000	species living	3				
KTZ48		60	species living	3				
		2	species living	3				
C6N4C		130	species living	21				
		1	species living	3				
PR8FN		340	species living	12				
PR8FN		350	species living	30				
4C2		2619	species living	55				
4N5F		325	species living	65				
623CF		897	species living	3				
39Q		1	species living					
G9L		78	species living	71				
627D3		403	species living	74				
627D3		403	species living	74				
625NL		2700	species living	30				
85L		70	species living	30				
3LY		13822	species living	30				
37C		130	species living	30				
G4L		20	species living	74				
G4V		560	species living	74				
GC4		111	species living	74				
6K7C		300	species living	65				
V5D96		4651	species living	30				
625G5		101	species living	55				
9JT		3	species living	55				
GV		10892	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
GZJ		5500	species living	74				
CH2		71600	species living					
49Q		25821	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
65S		1	species living	30				
H9Z		2000	species living	74				
49N		2	species living	12				
626XJ		60	species living	30				
KV3FZ		9	species living	3				
C7ZVG		225	species living	21				
KV3Y7		450	species living	3				
C7ZN4		185	species living	21				
KV5QB		250	species living	3				
87S		32500	species living	3				
8NKQK		2	species living	29				
CRYLK		30	species living	3				
B6MLD		197	species living	3				
6JQ		2	species living	30				
7WZ		2	species living	30				
J39		290	species living	30				
GQG		1	species living	30				
CTM		1	species living	24				
Q3MV6		248	species living	55				
625LN		211	species living	62				
627DJ		24	species living	24				
GMP		217	species living	62				
B8Q		12	species living	30				
VW		9994	species living	30				
CH2		49693	species living	40				
6274R		95	species living	30				
M2NZW		1	species living	55				
HS7		5	species living	74				
N7XM4		6407	species living	55				
626DD		730	species living	30				
626ST		146	species living	74				
HYJ		63	species living	74				
3ZJ		160	species living	30				
KZG3T		4932	species living	74				
KV7SP		1200	species living	5				
KV8Y5		300	species living	3				
KVXDQ		1700	species living	3				
CCDW2		881	species living	74				
78X		250	species living	72				
DXY		35	species living	30				
622JR		9	species living	30				
6K5		1	species living	30				
GLM		12	species living	30				
62V		220	species living	30				
8KC		12	species living	30				
626GM		14	species living	30				
626XM		2850	species living	30				
72Y		1	species living	30				
62332		5200	species living	30				
W8		1434	species living	30				
62RQR		75	species living	65				
8W		38	species living	23				
		3186	species living	66				
		2876	species living	18				
C8FYJ		21	species living	21				
		1650	species living	72				
649		1	species living	30				
		35	species living	55				
6233L		1	species living	30				
627GG		1	species living	30				
W8		1202	species living	12				
G2G		84	species living	30				
8NKJ8		71	species living	29				
QY		2561	species living	55				
87J		6530	species living	17				
8NKFG		3270	species living	31				
GP7		20	species living	74				
S8		236	species living	35				
37D		10	species living	35				
4L		15	species living	46				
623VW		12	species living	30				
C8NGJ		1	species living					
M2PX5		77	species living	55				
8GF		8	species living	30				
BGQ		24	species living	30				
626J3		30	species living	30				
C2L		392415	species living	3				
KTZJ3		4000	species living	1				
KV76N		10000	species living	3				
KV7GT		1800	species living	3				
KV76Z		3500	species living	3				
KVB59		53	species living	3				
KV777		1500	species living	3				
		5937	species living	3				
6222T		70	species living	30				
625CP		1	species living	30				
623Y6		19	species living	30				
9CLJ2		75	species living	33				
4B		2000	species living	25				
HRD		5	species living	30				
624CS		18	species living	30				
624LZ		8	species living	30				
DK2		55	species living	30				
623FG		3352	species living	30				
		217	species living	62				
6QB		640	species living	30				
B7W		8	species living	30				
3ZY		6238	species living	30				
KV7G2		63400	species living	50				
6CK		900	species living	30				
BMB		6	species living	30				
FR3		72	species living	74				
		6588	species living					
VC		116	species living	12				
7NS		21	species living	30				
76H		3	species living	30				
FV6		160	species living	30				
CFZ		40	species living	30				
626CS		17	species living	30				
CBSBK		284	species living	74				
GPW		43	species living	30				
622GW		54	species living	30				
9LG		750	species living	30				
DSG		610	species living	30				
623SX		2	species living	30				
B6K		4	species living	30				
FL		13600	species living	19				
T6		227	species living	35				
38T		555	species living	35				
7WN		5	species living	30				
KV8MR		24100	species living	3				
KVC6M		30	species living	3				
3RC		35	species living	30				
6VN		18	species living	30				
BTB		3000	species living	30				
6L2		6300	species living	30				
8ZC		25	species living	30				
625DC		190	species living	30				
624Z2		100	species living	30				
4CB		307	species living	12				
BNP		17	species living	30				
623W5		1	species living	30				
6259G		16	species living	30				
FTK		5000	species living					
43W		4719	species living	30				
8J9		1850	species living	30				
BJ5YL		1	species living	2				
BJ679		177	species living	2				
		4100	species living	3				
7SM		91	species living	30				
BJB		79	species living	30				
D3J		45	species living	30				
5WG		150	species living	30				
729		9	species living	30				
622G3		35	species living	30				
KV99J		880	species living	3				
KVBRG		300	species living	3				
622JQ		400	species living	30				
87L		520	species living	30				
8CK		820	species living	30				
8RT		2	species living	30				
97H		200	species living	30				
9LT		46	species living	30				
CD9		1400	species living	30				
DGS		520	species living	30				
D7Q		2	species living	30				
C3J		273	species living	30				
DQG		2100	species living	30				
DLK		2	species living	30				
6237J		1000	species living	12				
6273G		1000	species living	30				
C98NQ		22790	species living	17				
C8SMC		762	species living	74				
C8V7J		1078	species living	74				
C9NFB		4058	species living	74				
BCJ		200	species living	30				
8W4		1	species living	30				
62663		2	species living	30				
623GN		2	species living	30				
CQ3		7	species living	30				
622VB		5	species living	30				
92M		2	species living	30				
D3Q		500	species living	30				
HQS		1900	species living	30				
NPBN9		1093	species living	55				
9JHQ8		220	species living	59				
9VH		250	species living	30				
9Y9		3	species living	30				
623NS		1	species living	30				
B6W		60	species living	30				
6257N		580	species living	30				
BFR		10	species living	30				
BH6		19	species living	30				
BPZ		16	species living	30				
BJ5TM		16000	species living	38285e62-5e47-4c15-b9b0-cd59447fbde2				
6XV		1	species living	30				
C98NH		1469	species living	74				
KVGPQ		70	species living	5				
5XZ		2	species living	55				
6M4		3353	species living	55				
C9TZG		427	species living	74				
694		2234	species living	55				
CSYS4		10746	species living	49				
FN		765	species living	3				
KVG6R		6	species living	3				
KV2DT		6	species living	35				
C9LN8		4969	species living	74				
KVGFK		5	species living	3				
KVHWK		95	species living	3				
KVFTG		430	species living	3				
C9T9P		931	species living	74				
C9Q5C		1453	species living	74				
CB6BS		134	species living	74				
68B		13	species living	30				
6247C		1800	species living	30				
SGJN5		13581	species living	55				
6LY		600	species living	30				
9YM		3	species living	30				
B2X		1	species living	30				
72Z		1	species living	30				
9CT		2	species living	30				
9LF		100	species living	30				
C7D		1000	species living	30				
C2N		23	species living	30				
		200	species living	3				
CBM4Z		1437	species living	74				
CBJJZ		125	species living	74				
CBXJK		3544	species living	74				
CBYMT		2	species living	74				
CB7MZ		10	species living	74				
KVH44		130	species living	3				
KTX3G		1	species living	3				
KVGYJ		3	species living	3				
KVFFV		1000	species living	3				
KVH7W		1	species living	3				
KVJ8G		11	species living	3				
		3	species living	3				
KVJF4		4600	species living	3				
KVGPP		70	species living	5				
DBP8T		26	species living	5				
KVKR6		420	species living	3				
KVJL2		3000	species living	3				
KVJMP		6000	species living	5				
KVK4D		1	species living	3				
DBP8V		1	species living	5				
KVJSM		250	species living	3				
KVH3H		1500	species living	3				
KVLF9		160	species living	3				
KVLQS		13	species living	3				
KVJRB		4500	species living	3				
KVKJ3		500	species living	3				
KVMDL		33	species living	3				
KVMW3		40	species living	3				
KVMY2		109	species living	3				
KVP3X		640	species living	3				
KVMW7		14	species living	3				
DBP8H		1	species living	5				
DBP8H		1	species living	5				
DBP8L		4	species living	5				
KVQK4		11	species living	3				
DBP8G		160	species living	5				
62255		43230	species living	74				
7D4		19205	species living	74				
BCL		24025	species living	74				
		350	species living	3				
		75	species living	3				
7W5		304	species living	bc649009-0d41-41f5-bf93-5d39a03be559				
7GY		1062	species living	9df59c62-1f46-48f6-8f19-8cff4c2877cd				
8VR3F		1600	species living	3				
G3C		8	species living	61				
8KTMN		6	species living	3				
624L8		299	species living	bc649009-0d41-41f5-bf93-5d39a03be559				
335		1013	species living	35				
		10	species living	3				
		2	species living	3				
KVP65		20	species living	3				
KVP8R		30	species living	3				
KVPKH		30	species living	3				
KVQM6		290	species living	3				
KVMJY		2200	species living	5				
KVQPY		167	species living	3				
KVQWJ		23	species living	3				
KVQTF		30	species living	3				
KVRYX		300	species living	3				
KVSMD		800	species living	3				
KVT4Z		500	species living	3				
KVT7K		500	species living	3				
KVTW6		6	species living	3				
KVTBR		19	species living	3				
KVTQ7		59	species living	3				
KVVLY		19	species living	3				
KVWDY		8	species living	3				
KVVX7		2	species living	3				
KVV3T		20000	species living	3				
KVV42		150	species living	3				
KVV42		150	species living	3				
KVVR5		30	species living	5				
KVWF4		150	species living	3				
KVVYH		60	species living	3				
KVWJP		13	species living	3				
KVX63		30	species living	3				
		56000	species living	3				
		62220	species living	3				
DBMNH		1	species living	3				
KVR6P		70	species living	3				
KVQD3		400	species living	3				
KVXF3		600	species living	5				
8ML		8773	species living	74				
625H4		4327	species living	74				
CGP		4096	species living	74				
CKN		187	species living	74				
GH7		724	species living	74				
KV2TH		4100	species living	50				
626MF		21	species living	74				
ZT		672	species living	30				
8T5		1	species living	30				
B82		215	species living	30				
B93		19	species living	30				
C5K		323	species living	30				
CVZ		260	species living	30				
5ZB		400	species living	30				
72Q		1000	species living	30				
M2PX5		77	species living	55				
623P8		4400	species living	30				
62457		11	species living	30				
624JV		139	species living	30				
627BN		3050	species living	30				
62545		4	species living	30				
		16	species living	55				
625JS		4	species living	30				
CFX		6	species living	55				
HYW		394	species living	55				
8M7		137	species living	55				
6278S		8	species living	55				
FLN		482	species living	55				
DPL		27753	species living	55				
383		23300	species living	8				
627KC		1300	species living	13				
FHM		2	species living	13				
9VK		130	species living	30				
6228L		3760	species living	12				
C6GCC		3700	species living	30				
8BN		250	species living	30				
623YM		1	species living	30				
3Z6		9508	species living	12				
625F8		21	species living	30				
BMR		2	species living	30				
FN6		1150	species living	30				
FTK		5000	species living	30				
9CLM7		2	species living	33				
7HS		1600	species living	30				
623XS		3	species living	30				
9GS		1	species living	30				
6244X		76	species living	30				
626FG		140	species living	30				
627FM		1050	species living	30				
FLK		85	species living	30				
GQ2		22	species living	30				
HBR		2	species living	30				
HJR		93	species living	30				
6234D		2561	species living	55				
6272Z		1000	species living	30				
622MF		1054	species living	47				
DB5		862	species living	47				
65Y		1	species living	92901a06-d789-4d13-87f4-bfdc61201379				
85L		70	species living					
		9	species living	30				
7Q7		29	species living	04f50e31-6b66-4e79-b72e-8da32ef48466				
7YD		40	species living	b6186419-457d-49c0-8602-d276b2b1d46c				
9ZQ		133	species living	78ca9582-7554-46af-b14a-5e47361cb972				
		183	species living	74				
624RH		15	species living	621483f5-94d3-41eb-8328-907848883493				
6T3		2943	species living	55				
77P		870	species living	30				
SB		92	species living	30				
625MD		54	species living	30				
7DT		1	species living	30				
622CL		2	species living	3				
HWG		158	species living	74				
		310	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
36H		8	species living	35				
394		278	species living	35				
8KTL7		40000	species living	3				
623CP		120	species living	6b57682a-c330-408f-be93-7b0d4180f615				
6223X		37	species living	35				
FB8		17	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
C67		58	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
3F6		21	species living	35				
B8VF7		5	species living	40				
B8TXJ		13000	species living	40				
3F8		3418	species living	30				
FYT		30	species living	30				
625JL		160	species living	30				
8PK		8	species living	30				
623BB		62	species living	30				
8ZX		2	species living	30				
622TM		45	species living	30				
9VD		38	species living	30				
5WK		10	species living	30				
622CR		149	species living	62				
3WV		32	species living	62				
96F		15	species living	24				
995		200	species living	62				
RCXGS		96	species living	55				
8Q3		12	species living	30				
CK9		5600	species living	30				
D48		6000	species living	30				
DL8		750	species living	30				
624TF		6	species living	7bcd33a1-5ae0-4d64-8f1f-459a133a87d6				
624V6		81	species living	b23156a5-f6fe-4fff-aa75-e2f6439a8395				
99Y		500	species living	30				
9CP		530	species living	30				
H8Q		900	species living	30				
KV2D5		684	species living	12				
68Z		2220	species living	30				
9CM9W		300	species living	8				
G5G		299	species living	9b8e8b9f-fdbc-4319-8e2c-dbcd2eff3019				
GTG		1	species living	0e3e1f40-cee7-4eb9-9b94-cc7c795a7d26				
HJH		5	species living	3d1ea5cf-872b-41c3-a691-c68ee4d41548				
HMM		183	species living	4f327f77-dc92-48c5-a6d6-1c8d0b865730				
HR9		198	species living	b4867926-7ec4-43bf-8726-dd4e613a7a9a				
9CM9Y		55	species living	33				
6264B		29	species living	30				
7NKD3		2	species living	30				
625ZW		205	species living	30				
6262K		2000	species living	30				
622JV		1275	species living	12				
622JV		1200	species living	30				
3VJ		10	species living	35				
3VN		16	species living	35				
3ZM		28	species living	35				
3ZR		66	species living	35				
42M		1477	species living	35				
6236K		2867	species living	35				
45N		75	species living	35				
463		391	species living	35				
8X6KL		7	species living	3				
T4JF3		1	species living	55				
		1	species living	63a32670-200b-4439-b8a3-73d00f079c7c				
G5R		1950	species living					
H39		3	species living	30				
B6LCL		6650	species living	3				
8X6KL		7	species living	3				
3HS		2447	species living	3				
4R		103	species living	74				
8VR3J		3700	species living	3				
KVTKT		97	species living	35				
45D		15	species living	35				
7N9		4	species living	55				
HY6		2	species living	55				
48K		59	species living	35				
7NF2H		29487	species living	74				
CC2FL		78	species living	74				
CC57B		93	species living	74				
B6MTR		514	species living	3				
CC979		44	species living	74				
CC8Y3		900	species living	74				
C9G		460	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
626HS		23	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
927		60	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
8V4BN		1	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
DK6		22	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
C9R		25	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
3DZ		180	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
623HT		145	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
3XS		5628	species living	30				
76G		600	species living	30				
FJR		3500	species living	30				
		1320	species living	72				
424		2579	species living	30				
		1224	species living	55				
C66JZ		2600	species living	30				
627KD		1400	species living	30				
626XC		1	species living	30				
F		140000	species living	26				
SM		87000	species living	26				
BM		50000	species living	26				
3G		1250	species living	26				
4M		275	species living	26				
6J		1350	species living	26				
B7VYB		1443	species living	55				
FJR		3500	species living	30				
624CS		18	species living	30				
SMQV3		68	species living	55				
SYGQY		20	species living	55				
BMH4F		1	species living	30				
VC		116	species living	12				
M2NQR		26	species living	55				
3F4		26191	species living	30				
7JJ		255	species living	30				
622KG		5	species living	30				
PR82T		7756	species living	55				
8NKKK		5	species living	29				
8NKKW		8	species living	29				
8NKLF		1	species living	29				
495		190	species living	62				
625VL		50	species living	57				
624Z7		11	species living	55				
6269F		6	species living	55				
627L9		33	species living	55				
7GN		165	species living	55				
623Y5		627	species living	55				
8TW		231	species living	55				
622GQ		3327	species living	55				
623NZ		1206	species living	55				
6243G		4	species living	55				
6243G		4	species living	55				
HMK		63	species living	55				
624PY		201	species living	55				
624K3		568	species living	55				
6259N		17	species living	55				
CZK		79	species living	55				
GQK		7	species living	55				
J2F		1600	species living	55				
8GR		734	species living	55				
FJV		95	species living	55				
BRQ		1	species living	55				
M2PX5		90	species living	30				
N7WNP		755	species living	55				
8VR3G		3400	species living	3				
RCWFM		1	species living	30				
QRN6J		33	species living	55				
GR9		20	species living	30				
QKJFW		42	species living	55				
NRDF8		25	species living	55				
R66KK		17	species living	55				
C8MQF		1	species living					
RCWB3		109	species living	55				
FFF		215	species living	55				
SMRLW		37	species living	55				
H7R		6	species living	30				
TMFZP		958	species living	55				
HGM		7	species living	30				
D6D		36	species living	55				
FSN		6	species living	55				
68G		254	species living	55				
6259D		724	species living	55				
8F4		283	species living	55				
625XT		2	species living	55				
8KZ		27	species living	55				
CK6		179	species living	55				
625W6		1	species living	55				
GCL		256	species living	55				
626JT		975	species living	55				
GMN		37	species living	55				
HSK		286	species living	55				
62689		4	species living	55				
HHR		50	species living	55				
7NW		10	species living	55				
675		117	species living	55				
7H2		2	species living	55				
8VQ		17	species living	55				
B8D		131	species living	55				
627FW		11543	species living	55				
7BC		12	species living	55				
78H		4	species living	55				
9FH		2	species living	55				
6235N		37	species living	55				
BBT		153	species living	55				
BFJ		2273	species living	55				
BH3		4	species living	55				
7H5		120	species living	30				
7BQ		14	species living	5a92f91f-63c6-4f43-80e5-b376bf14dccb				
77J		4	species living	30				
DCT		7	species living	30				
FY3		1820	species living	30				
T8		4	species living	30				
624JG		650	species living	30				
3WP		1860	species living	30				
623G4		3500	species living	30				
6264K		75	species living	30				
622JV		1202	species living	30				
622JV		1200	species living	30				
3TV		54	species living	30				
73R		2	species living	30				
7NJG5		4	species living	22				
		19	species living	30				
B8VF6		30	species living	3				
NM		25033	species living	74				
627L7		4855	species living	74				
GS5		290	species living	30				
34T		500	species living	30				
C5Z		480	species living	30				
8WM		10	species living	30				
627H7		400	species living	30				
H5S		280	species living	30				
6228P		87	species living	30				
7HR		5	species living	30				
8N6		1450	species living	30				
625TH		10	species living	30				
6278B		750	species living	30				
H36		1	species living	30				
GTJ		9	species living	13				
7NG4T		1606	species living	55				
6L4		28	species living	30				
7NV		105	species living	30				
8MH		3	species living	30				
6CH		44	species living	30				
6DJ		19	species living	30				
623HM		8	species living	30				
58		1184	species living	62				
F2		999	species living	62				
CKB		710	species living	30				
626WT		2050	species living	30				
8GM		540	species living	30				
39J		831	species living	30				
6274P		6	species living	30				
54		1	species living	3				
B44		4300	species living	3				
M2L		80000	species living	56				
8VR4Y		5	species living	3				
43J		2086	species living	3				
3D8		600	species living	72				
B9W		600	species living	72				
374		40	species living	72				
9TM		36	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
4DLK		40	species living	72				
32S		712	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
97R		30	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
625Q2		12	species living	72				
H8Y		1	species living	72				
624K6		120	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
3QG		21	species living	72				
3QG		21	species living	72				
3X6		17	species living	72				
3VL		8895	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
CKDNJ		180	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
62242		159	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
9CN		10	species living	72				
C6R		7	species living	30				
624JP		9	species living	30				
CSC		11	species living	30				
624P2		90	species living	30				
CXG		220	species living	30				
DG4		420	species living	30				
625LQ		2	species living	30				
FMF		3	species living	30				
FY9		2	species living	30				
626ZM		4	species living	30				
		15	species living	30				
623DM		110	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
6229G		120	species living	30				
8VR4R		70	species living	3				
7GV		630	species living	30				
626PG		6	species living	30				
B7VXH		5609	species living	30				
625C7		7	species living	30				
6264H		4	species living	30				
6262P		8	species living	30				
3ZT		71	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
624M2		54	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
3HC		460	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
7H8		7	species living	30				
G5R		1950	species living	30				
432		700	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
B8VC6		700	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
8XB		36	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
W8		1279	species living	12				
624S8		1	species living	72				
BV8KC		230	species living	72				
7VL		1	species living	30				
624XL		2	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
624G7		330	species living	30				
7PH		412	species living	30				
HWM		50	species living	72				
BJG		470	species living	942f5ec6-24e6-4c33-bcf7-293a61f2178b				
